day,km,start
1, 11.82, 2020-07-01
2, 0, 2020-07-02
3, 10.72, 2020-07-03
4, 0, 2020-07-04
5, 7.04, 2020-07-05
6, 0, 2020-07-06
7, 10.01, 2020-07-07
8, 5.02, 2020-07-08
9, 9.01, 2020-07-09
10, 10.04, 2020-07-10
11, 0, 2020-07-11
12, 8.08, 2020-07-12
13, 10.00, 2020-07-13
14, 8.03, 2020-07-14
15, 10.06, 2020-07-15
16, 0, 2020-07-16
17, 23.99, 2020-07-17
18, 0, 2020-07-18
19, 7.9, 2020-07-19
20, 8.01, 2020-07-20
21, 12.01, 2020-07-21
22, 0, 2020-07-22
23, 10.66, 2020-07-23
24, 0, 2020-07-24
25, 0, 2020-07-25
26, 8.17, 2020-07-26
27, 12.08, 2020-07-27
28, 0, 2020-07-28
29, 11.07, 2020-07-29
30, 5.51, 2020-07-30
31, , 2020-07-31
