week,km,start,end
1,0,2018/12/31,2019/1/6
2,0,2019/1/7,2019/1/13
3,8.01,2019/1/14,2019/1/20
4,10.02,2019/1/21,2019/1/27
5,10.12,2019/1/28,2019/2/3
6,0,2019/2/4,2019/2/10
7,0,2019/2/11,2019/2/17
8,0,2019/2/18,2019/2/24
9,4.9,2019/2/25,2019/3/3
10,15.79,2019/3/4,2019/3/10
11,26.39,2019/3/11,2019/3/17
12,30.41,2019/3/18,2019/3/24
13,15.01,2019/3/25,2019/3/31
14,32.06,2019/4/1,2019/4/7
15,58.02,2019/4/8,2019/4/14
16,15.04,2019/4/15,2019/4/21
17,35,2019/4/22,2019/4/28
18,26.16,2019/4/29,2019/5/5
19,41.91,2019/5/6,2019/5/12
20,27.46,2019/5/13,2019/5/19
21,32.36,2019/5/20,2019/5/26
22,6.1,2019/5/27,2019/6/2
23,32.45,2019/6/3,2019/6/9
24,30.34,2019/6/10,2019/6/16
25,24.17,2019/6/17,2019/6/23
26,22.37,2019/6/24,2019/6/30
27,26.71,2019/7/1,2019/7/7
28,27.24,2019/7/8,2019/7/14
29,22.12,2019/7/15,2019/7/21
30,36.52,2019/7/22,2019/7/28
31,22.14,2019/7/29,2019/8/4
32,8.61,2019/8/5,2019/8/11
33,21.16,2019/8/12,2019/8/18
34,21.22,2019/8/19,2019/8/25
35,26.26,2019/8/26,2019/9/1
36,40.69,2019/9/2,2019/9/8
37,18.15,2019/9/9,2019/9/15
38,49.6,2019/9/16,2019/9/22
39,70.72,2019/9/23,2019/9/29
40,10.04,2019/9/30,2019/10/6
41,62.39,2019/10/7,2019/10/13
42,53.78,2019/10/14,2019/10/20
43,19.31,2019/10/21,2019/10/27
44,31.19,2019/10/28,2019/11/3
45,40,2019/11/4,2019/11/10
46,54.84,2019/11/11,2019/11/17
47,25.31,2019/11/18,2019/11/24
48,20.07,2019/11/25,2019/12/1
49,32.27,2019/12/2,2019/12/8
50,28.11,2019/12/9,2019/12/15
51,8.04,2019/12/16,2019/12/22
52,16,2019/12/23,2019/12/29
53,0,2019/12/30,2019/12/31
